eRT,Store,RPC,ProductName,Category,Brand,Segment1,Segment2,Segment3,Segment4,Segment5,Segment6,First POS date,Last POS date,Pantry_flg,Unset_flg,Memo
Rakuten,Rakuten_Edion,130S1,ブラウン １枚刃,BMG,Braun,,,,,,,,,,1,Edionは他店舗含めたPOSとなっているため管理対象外
Rakuten,Rakuten_Edion,190S1,ブラウン １枚刃,BMG,Braun,,,,,,,,,,1,Edionは他店舗含めたPOSとなっているため管理対象外
Rakuten,Rakuten_Edion,199S1E8,ブラウン ３枚刃,BMG,Braun,,,,,,,,,,1,Edionは他店舗含めたPOSとなっているため管理対象外
Rakuten,Rakuten_Edion,300SB,ブラウン ３枚刃,BMG,Braun,,,,,,,,,,1,Edionは他店舗含めたPOSとなっているため管理対象外
Rakuten,Rakuten_Edion,3010S,ブラウン ３枚刃,BMG,Braun,,,,,,,,,,1,Edionは他店舗含めたPOSとなっているため管理対象外
Rakuten,Rakuten_Edion,3010SSP,ブラウン ３枚刃,BMG,Braun,,,,,,,,,,1,Edionは他店舗含めたPOSとなっているため管理対象外
Rakuten,Rakuten_Edion,3020SB,ブラウン ３枚刃,BMG,Braun,,,,,,,,,,1,Edionは他店舗含めたPOSとなっているため管理対象外
Rakuten,Rakuten_Edion,3030S,ブラウン ３枚刃,BMG,Braun,,,,,,,,,,1,Edionは他店舗含めたPOSとなっているため管理対象外
Rakuten,Rakuten_Edion,3040S,ブラウン ３枚刃,BMG,Braun,,,,,,,,,,1,Edionは他店舗含めたPOSとなっているため管理対象外
Rakuten,Rakuten_Edion,3040SW,ブラウン ３枚刃,BMG,Braun,,,,,,,,,,1,Edionは他店舗含めたPOSとなっているため管理対象外
Rakuten,Rakuten_Edion,3040SWSP,ブラウン ３枚刃,BMG,Braun,,,,,,,,,,1,Edionは他店舗含めたPOSとなっているため管理対象外
Rakuten,Rakuten_Edion,3050CCG,ブラウン ３枚刃洗浄器付,BMG,Braun,,,,,,,,,,1,Edionは他店舗含めたPOSとなっているため管理対象外
Rakuten,Rakuten_Edion,3080SB,ブラウン ３枚刃,BMG,Braun,,,,,,,,,,1,Edionは他店舗含めたPOSとなっているため管理対象外
Rakuten,Rakuten_Edion,3080SS,ブラウン ３枚刃,BMG,Braun,,,,,,,,,,1,Edionは他店舗含めたPOSとなっているため管理対象外
Rakuten,Rakuten_Edion,3090CC,ブラウン ３枚刃洗浄器付,BMG,Braun,,,,,,,,,,1,Edionは他店舗含めたPOSとなっているため管理対象外
Rakuten,Rakuten_Edion,320S5X,ブラウン ３枚刃,BMG,Braun,,,,,,,,,,1,Edionは他店舗含めたPOSとなっているため管理対象外
Rakuten,Rakuten_Edion,330S5Z,ブラウン ３枚刃,BMG,Braun,,,,,,,,,,1,Edionは他店舗含めたPOSとなっているため管理対象外
Rakuten,Rakuten_Edion,350CC5R2,ブラウン ３枚刃洗浄器付,BMG,Braun,,,,,,,,,,1,Edionは他店舗含めたPOSとなっているため管理対象外
Rakuten,Rakuten_Edion,390CC5,ブラウン ３枚刃洗浄器付,BMG,Braun,,,,,,,,,,1,Edionは他店舗含めたPOSとなっているため管理対象外
