ASIN,Category,BRAND,SEGMENT1,SEGMENT2,SEGMENT3,SEGMENT4,SEGMENT5,SEGMENT6,ProductTitle,Crwal-Date,Crwal-Time,ASIN-Active,ASIN-Qualified-Buy-Status,Non-Pantry-status,Non-Used-status,Non-Market-Place,Amazon-is-selling,Amazon-is-the-lowest-price-merchant,Lowest-Price-Merchant,Lowest-Price-JPY,Amazon-Price JPY,Amazon-Coupon,Add-On,Prime-Only,Availability,Review-Stars,Review-Volumes,Standard-SnS,Standard-SnS-Price,Prime-Exclusive-SnS,Prime-Exclusive-SnS-Price,Prime-Family-SnS,Prime-Family-SnS-Price
B0035KR5X2,BFG,Braun Female,Key Parts,,,,,,ブラウン レディーシェーバー用 シェーバーヘッド 67030668,2018/03/22,10:38:12,True,True,True,True,True,True,True,Amazon.co.jp,491,491,N/A,False,False,残り8点,4.4,6,False,N/A,False,N/A,False,N/A
B005FE7GGM,BFG,Braun Female,Lady shaver,,,,,,,2018/03/22,10:38:12,True,True,True,True,False,False,False,,,,,False,False,,,,False,,False,,False,
B0035KR5X2,BFG,Braun Female,Key Parts,,,,,,ブラウン レディーシェーバー用 シェーバーヘッド 67030668,2018/03/22,10:54:49,True,True,True,True,True,True,True,Amazon.co.jp,491,491,N/A,False,False,残り8点,4.4,6,False,N/A,False,N/A,False,N/A
B005FE7GGM,BFG,Braun Female,Lady shaver,,,,,,ブラウン シルク・エピル レディースシェーバー LS5500R,2018/03/22,10:54:49,True,True,True,True,True,True,True,Amazon.co.jp,3191,3191,N/A,False,False,在庫あり。,3.5,397,False,N/A,False,N/A,False,N/A
B0035KR5X2,BFG,Braun Female,Key Parts,,,,,,ブラウン レディーシェーバー用 シェーバーヘッド 67030668,2018/03/22,11:13:06,True,True,True,True,True,True,True,Amazon.co.jp,491,491,N/A,False,False,残り8点,4.4,6,False,N/A,False,N/A,False,N/A
B005FE7GGM,BFG,Braun Female,Lady shaver,,,,,,,2018/03/22,11:13:06,True,True,True,True,False,False,False,,,,,False,False,,,,False,,False,,False,
B0035KR5X2,BFG,Braun Female,Key Parts,,,,,,ブラウン レディーシェーバー用 シェーバーヘッド 67030668,2018/03/22,11:21:22,True,True,True,True,True,True,True,Amazon.co.jp,491,491,N/A,False,False,残り8点,4.4,6,False,N/A,False,N/A,False,N/A
B005FE7GGM,BFG,Braun Female,Lady shaver,,,,,,ブラウン シルク・エピル レディースシェーバー LS5500R,2018/03/22,11:21:22,True,True,True,True,True,True,True,Amazon.co.jp,3191,3191,N/A,False,False,在庫あり。,3.5,397,False,N/A,False,N/A,False,N/A
B0035KR5X2,BFG,Braun Female,Key Parts,,,,,,ブラウン レディーシェーバー用 シェーバーヘッド 67030668,2018/03/22,11:34:28,True,True,True,True,True,True,True,Amazon.co.jp,491,491,N/A,False,False,残り8点,4.4,6,False,N/A,False,N/A,False,N/A
B005FE7GGM,BFG,Braun Female,Lady shaver,,,,,,ブラウン シルク・エピル レディースシェーバー LS5500R,2018/03/22,11:34:28,True,True,True,True,True,True,True,Amazon.co.jp,3191,3191,N/A,False,False,在庫あり。,3.5,397,False,N/A,False,N/A,False,N/A
B0035KR5X2,BFG,Braun Female,Key Parts,,,,,,ブラウン レディーシェーバー用 シェーバーヘッド 67030668,2018/03/22,12:35:58,True,True,True,True,True,True,True,Amazon.co.jp,491,491,N/A,False,False,残り8点,4.4,6,False,N/A,False,N/A,False,N/A
B005FE7GGM,BFG,Braun Female,Lady shaver,,,,,,ブラウン シルク・エピル レディースシェーバー LS5500R,2018/03/22,12:35:58,True,True,True,True,True,True,True,Amazon.co.jp,3191,3191,N/A,False,False,在庫あり。,3.5,397,False,N/A,False,N/A,False,N/A
B0035KR5X2,BFG,Braun Female,Key Parts,,,,,,ブラウン レディーシェーバー用 シェーバーヘッド 67030668,2018/03/22,12:49:52,True,True,True,True,True,True,True,Amazon.co.jp,491,491,N/A,False,False,残り8点,4.4,6,False,N/A,False,N/A,False,N/A
B005FE7GGM,BFG,Braun Female,Lady shaver,,,,,,ブラウン シルク・エピル レディースシェーバー LS5500R,2018/03/22,12:49:52,True,True,True,True,True,True,True,Amazon.co.jp,3191,3191,N/A,False,False,在庫あり。,3.5,397,False,N/A,False,N/A,False,N/A
B0035KR5X2,BFG,Braun Female,Key Parts,,,,,,ブラウン レディーシェーバー用 シェーバーヘッド 67030668,2018/03/22,12:57:55,True,True,True,True,True,True,True,Amazon.co.jp,491,491,N/A,False,False,残り8点,4.4,6,False,N/A,False,N/A,False,N/A
B005FE7GGM,BFG,Braun Female,Lady shaver,,,,,,ブラウン シルク・エピル レディースシェーバー LS5500R,2018/03/22,12:57:55,True,True,True,True,True,True,True,Amazon.co.jp,3191,3191,N/A,False,False,在庫あり。,3.5,397,False,N/A,False,N/A,False,N/A
