ASIN,Category,BRAND,SEGMENT1,SEGMENT2,SEGMENT3,SEGMENT4,SEGMENT5,SEGMENT6,ProductTitle,Crwal-Date,Crwal-Time,ASIN-Active,ASIN-Qualified-Buy-Status,Non-Pantry-status,Non-Used-status,Non-Market-Place,Amazon-is-selling,Amazon-is-the-lowest-price-merchant,Lowest-Price-Merchant,Lowest-Price-JPY,Amazon-Price JPY,Amazon-Coupon,Add-On,Prime-Only,Availability,Review-Stars,Review-Volumes,Standard-SnS,Standard-SnS-Price,Prime-Exclusive-SnS,Prime-Exclusive-SnS-Price,Prime-Family-SnS,Prime-Family-SnS-Price
B002QMMHL0,Detergent,Sarasa,Liquid,,Bottle,,Single,,さらさ 洗濯洗剤 本体 850g,2018/03/22,10:38:12,True,True,True,True,True,True,True,Amazon.co.jp,294,294,N/A,False,True,在庫あり。,4.1,158,False,N/A,False,N/A,False,N/A
B002QMMHLA,Detergent,Sarasa,Liquid,,Refill,Refillx1,Single,,さらさ 洗濯洗剤 詰め替え 750g,2018/03/22,10:38:12,True,True,True,True,True,True,True,Amazon.co.jp,279,279,N/A,False,True,在庫あり。,4.5,308,False,N/A,False,N/A,False,N/A
B002QMMHL0,Detergent,Sarasa,Liquid,,Bottle,,Single,,さらさ 洗濯洗剤 本体 850g,2018/03/22,10:54:49,True,True,True,True,True,True,True,Amazon.co.jp,294,294,N/A,False,True,在庫あり。,4.1,158,False,N/A,False,N/A,False,N/A
B002QMMHLA,Detergent,Sarasa,Liquid,,Refill,Refillx1,Single,,さらさ 洗濯洗剤 詰め替え 750g,2018/03/22,10:54:49,True,True,True,True,True,True,True,Amazon.co.jp,279,279,N/A,False,True,在庫あり。,4.5,308,False,N/A,False,N/A,False,N/A
B002QMMHL0,Detergent,Sarasa,Liquid,,Bottle,,Single,,,2018/03/22,11:13:06,True,True,True,True,False,False,False,,,,,False,False,,,,False,,False,,False,
B002QMMHLA,Detergent,Sarasa,Liquid,,Refill,Refillx1,Single,,さらさ 洗濯洗剤 詰め替え 750g,2018/03/22,11:13:06,True,True,True,True,True,True,True,Amazon.co.jp,279,279,N/A,False,True,在庫あり。,4.5,308,False,N/A,False,N/A,False,N/A
B002QMMHL0,Detergent,Sarasa,Liquid,,Bottle,,Single,,,2018/03/22,11:21:22,True,True,True,True,False,False,False,,,,,False,False,,,,False,,False,,False,
B002QMMHLA,Detergent,Sarasa,Liquid,,Refill,Refillx1,Single,,さらさ 洗濯洗剤 詰め替え 750g,2018/03/22,11:21:22,True,True,True,True,True,True,True,Amazon.co.jp,279,279,N/A,False,True,在庫あり。,4.5,308,False,N/A,False,N/A,False,N/A
B002QMMHL0,Detergent,Sarasa,Liquid,,Bottle,,Single,,さらさ 洗濯洗剤 本体 850g,2018/03/22,11:34:28,True,True,True,True,True,True,True,Amazon.co.jp,294,294,N/A,False,True,在庫あり。,4.1,158,False,N/A,False,N/A,False,N/A
B002QMMHLA,Detergent,Sarasa,Liquid,,Refill,Refillx1,Single,,さらさ 洗濯洗剤 詰め替え 750g,2018/03/22,11:34:28,True,True,True,True,True,True,True,Amazon.co.jp,279,279,N/A,False,True,在庫あり。,4.5,308,False,N/A,False,N/A,False,N/A
B002QMMHL0,Detergent,Sarasa,Liquid,,Bottle,,Single,,さらさ 洗濯洗剤 本体 850g,2018/03/22,12:35:58,True,True,True,True,True,True,True,Amazon.co.jp,294,294,N/A,False,True,在庫あり。,4.1,158,False,N/A,False,N/A,False,N/A
B002QMMHLA,Detergent,Sarasa,Liquid,,Refill,Refillx1,Single,,さらさ 洗濯洗剤 詰め替え 750g,2018/03/22,12:35:58,True,True,True,True,True,True,True,Amazon.co.jp,279,279,N/A,False,True,在庫あり。,4.5,308,False,N/A,False,N/A,False,N/A
B002QMMHL0,Detergent,Sarasa,Liquid,,Bottle,,Single,,さらさ 洗濯洗剤 本体 850g,2018/03/22,12:49:52,True,True,True,True,True,True,True,Amazon.co.jp,294,294,N/A,False,True,在庫あり。,4.1,158,False,N/A,False,N/A,False,N/A
B002QMMHLA,Detergent,Sarasa,Liquid,,Refill,Refillx1,Single,,さらさ 洗濯洗剤 詰め替え 750g,2018/03/22,12:49:52,True,True,True,True,True,True,True,Amazon.co.jp,279,279,N/A,False,True,在庫あり。,4.5,308,False,N/A,False,N/A,False,N/A
B002QMMHL0,Detergent,Sarasa,Liquid,,Bottle,,Single,,さらさ 洗濯洗剤 本体 850g,2018/03/22,12:57:55,True,True,True,True,True,True,True,Amazon.co.jp,294,294,N/A,False,True,在庫あり。,4.1,158,False,N/A,False,N/A,False,N/A
B002QMMHLA,Detergent,Sarasa,Liquid,,Refill,Refillx1,Single,,さらさ 洗濯洗剤 詰め替え 750g,2018/03/22,12:57:55,True,True,True,True,True,True,True,Amazon.co.jp,279,279,N/A,False,True,在庫あり。,4.5,308,False,N/A,False,N/A,False,N/A
