ASIN,Category,BRAND,SEGMENT1,SEGMENT2,SEGMENT3,SEGMENT4,SEGMENT5,SEGMENT6,ProductTitle,Crwal-Date,Crwal-Time,ASIN-Active,ASIN-Qualified-Buy-Status,Non-Pantry-status,Non-Used-status,Non-Market-Place,Amazon-is-selling,Amazon-is-the-lowest-price-merchant,Lowest-Price-Merchant,Lowest-Price-JPY,Amazon-Price JPY,Amazon-Coupon,Add-On,Prime-Only,Availability,Review-Stars,Review-Volumes,Standard-SnS,Standard-SnS-Price,Prime-Exclusive-SnS,Prime-Exclusive-SnS-Price,Prime-Family-SnS,Prime-Family-SnS-Price
B001398N2O,Hair Care,VS,VS for Base,ROT,,Bottle,,,ヴィダルサスーン ベースケアモイスチャーコントロール トリートメント 180g,2018/03/22,10:38:12,True,True,True,True,True,False,False,ケンコーコム[2052円以上送料無料],798,N/A,N/A,False,False,通常6～10日以内に発送します。,4.7,6,False,N/A,False,N/A,False,N/A
B00139EUGC,Hair Care,VS,VS for Base,CD,,Pomp,,,プレミアムヴィダルサスーン セルフヘアエステ プレミアムベースケア コンディショナー 500g,2018/03/22,10:38:12,True,True,True,True,True,True,True,Amazon.co.jp,778,778,N/A,False,False,在庫あり。,4.7,6,True,700,False,N/A,False,N/A
B001398N2O,Hair Care,VS,VS for Base,ROT,,Bottle,,,ヴィダルサスーン ベースケアモイスチャーコントロール トリートメント 180g,2018/03/22,10:54:49,True,True,True,True,True,False,False,ケンコーコム[2052円以上送料無料],798,N/A,N/A,False,False,通常6～10日以内に発送します。,4.7,6,False,N/A,False,N/A,False,N/A
B00139EUGC,Hair Care,VS,VS for Base,CD,,Pomp,,,プレミアムヴィダルサスーン セルフヘアエステ プレミアムベースケア コンディショナー 500g,2018/03/22,10:54:49,True,True,True,True,True,True,True,Amazon.co.jp,778,778,N/A,False,False,在庫あり。,4.7,6,True,700,False,N/A,False,N/A
B001398N2O,Hair Care,VS,VS for Base,ROT,,Bottle,,,ヴィダルサスーン ベースケアモイスチャーコントロール トリートメント 180g,2018/03/22,11:13:06,True,True,True,True,True,False,False,ケンコーコム[2052円以上送料無料],798,N/A,N/A,False,False,通常6～10日以内に発送します。,4.7,6,False,N/A,False,N/A,False,N/A
B00139EUGC,Hair Care,VS,VS for Base,CD,,Pomp,,,プレミアムヴィダルサスーン セルフヘアエステ プレミアムベースケア コンディショナー 500g,2018/03/22,11:13:06,True,True,True,True,True,True,True,Amazon.co.jp,778,778,N/A,False,False,在庫あり。,4.7,6,True,700,False,N/A,False,N/A
B001398N2O,Hair Care,VS,VS for Base,ROT,,Bottle,,,ヴィダルサスーン ベースケアモイスチャーコントロール トリートメント 180g,2018/03/22,11:17:09,True,True,True,True,True,False,False,ケンコーコム[2052円以上送料無料],798,N/A,N/A,False,False,通常6～10日以内に発送します。,4.7,6,False,N/A,False,N/A,False,N/A
B00139EUGC,Hair Care,VS,VS for Base,CD,,Pomp,,,プレミアムヴィダルサスーン セルフヘアエステ プレミアムベースケア コンディショナー 500g,2018/03/22,11:17:09,True,True,True,True,True,True,True,Amazon.co.jp,778,778,N/A,False,False,在庫あり。,4.7,6,True,700,False,N/A,False,N/A
B001398N2O,Hair Care,VS,VS for Base,ROT,,Bottle,,,,2018/03/22,11:21:22,True,True,True,True,False,False,False,,,,,False,False,,,,False,,False,,False,
B00139EUGC,Hair Care,VS,VS for Base,CD,,Pomp,,,プレミアムヴィダルサスーン セルフヘアエステ プレミアムベースケア コンディショナー 500g,2018/03/22,11:21:22,True,True,True,True,True,True,True,Amazon.co.jp,778,778,N/A,False,False,在庫あり。,4.7,6,True,700,False,N/A,False,N/A
B001398N2O,Hair Care,VS,VS for Base,ROT,,Bottle,,,ヴィダルサスーン ベースケアモイスチャーコントロール トリートメント 180g,2018/03/22,11:34:28,True,True,True,True,True,False,False,ケンコーコム[2052円以上送料無料],798,N/A,N/A,False,False,通常6～10日以内に発送します。,4.7,6,False,N/A,False,N/A,False,N/A
