ASIN,Category,BRAND,SEGMENT1,SEGMENT2,SEGMENT3,SEGMENT4,SEGMENT5,SEGMENT6,ProductTitle,Crwal-Date,Crwal-Time,ASIN-Active,ASIN-Qualified-Buy-Status,Non-Pantry-status,Non-Used-status,Non-Market-Place,Amazon-is-selling,Amazon-is-the-lowest-price-merchant,Lowest-Price-Merchant,Lowest-Price-JPY,Amazon-Price JPY,Amazon-Coupon,Add-On,Prime-Only,Availability,Review-Stars,Review-Volumes,Standard-SnS,Standard-SnS-Price,Prime-Exclusive-SnS,Prime-Exclusive-SnS-Price,Prime-Family-SnS,Prime-Family-SnS-Price
B000GIW6G2,Oral Care,Oral-B,Handle,Entry,,,,,ブラウン オーラルB すみずみクリーン (D12013N),2018/03/22,10:38:12,True,True,True,True,True,False,False,Ｈ＆Ｋ,1998,N/A,N/A,False,False,残り1点ご注文はお早めに,4.0,102,False,N/A,False,N/A,False,N/A
B0016G8E5K,Oral Care,Oral-B,Refill,Others,1,,,,ブラウン オーラルB IP17-1-EL 替えブラシ 歯間用ブラシ 1個入り 正規品,2018/03/22,10:38:12,True,True,True,True,True,True,True,Amazon.co.jp,519,519,N/A,False,False,在庫あり。,4.2,130,True,467,False,N/A,False,N/A
B000GIW6G2,Oral Care,Oral-B,Handle,Entry,,,,,ブラウン オーラルB すみずみクリーン (D12013N),2018/03/22,10:54:49,True,True,True,True,True,False,False,Ｈ＆Ｋ,1998,N/A,N/A,False,False,残り1点ご注文はお早めに,4.0,102,False,N/A,False,N/A,False,N/A
B0016G8E5K,Oral Care,Oral-B,Refill,Others,1,,,,ブラウン オーラルB IP17-1-EL 替えブラシ 歯間用ブラシ 1個入り 正規品,2018/03/22,10:54:49,True,True,True,True,True,True,True,Amazon.co.jp,519,519,N/A,False,False,在庫あり。,4.2,130,True,467,False,N/A,False,N/A
B000GIW6G2,Oral Care,Oral-B,Handle,Entry,,,,,,2018/03/22,11:13:06,True,True,True,True,False,False,False,,,,,False,False,,,,False,,False,,False,
B0016G8E5K,Oral Care,Oral-B,Refill,Others,1,,,,ブラウン オーラルB IP17-1-EL 替えブラシ 歯間用ブラシ 1個入り 正規品,2018/03/22,11:13:06,True,True,True,True,False,True,False,,,519,N/A,False,False,在庫あり。,4.2,130,True,467,False,N/A,False,N/A
B000GIW6G2,Oral Care,Oral-B,Handle,Entry,,,,,ブラウン オーラルB すみずみクリーン (D12013N),2018/03/22,11:17:09,True,True,True,True,False,False,False,,,N/A,N/A,False,False,残り1点ご注文はお早めに,4.0,102,False,N/A,False,N/A,False,N/A
B0016G8E5K,Oral Care,Oral-B,Refill,Others,1,,,,ブラウン オーラルB IP17-1-EL 替えブラシ 歯間用ブラシ 1個入り 正規品,2018/03/22,11:17:09,True,True,True,True,True,True,True,Amazon.co.jp,519,519,N/A,False,False,在庫あり。,4.2,130,True,467,False,N/A,False,N/A
B000GIW6G2,Oral Care,Oral-B,Handle,Entry,,,,,ブラウン オーラルB すみずみクリーン (D12013N),2018/03/22,11:21:22,True,True,True,True,True,False,False,Ｈ＆Ｋ,1998,N/A,N/A,False,False,残り1点ご注文はお早めに,4.0,102,False,N/A,False,N/A,False,N/A
B0016G8E5K,Oral Care,Oral-B,Refill,Others,1,,,,ブラウン オーラルB IP17-1-EL 替えブラシ 歯間用ブラシ 1個入り 正規品,2018/03/22,11:21:22,True,True,True,True,True,True,True,Amazon.co.jp,519,519,N/A,False,False,在庫あり。,4.2,130,True,467,False,N/A,False,N/A
B000GIW6G2,Oral Care,Oral-B,Handle,Entry,,,,,ブラウン オーラルB すみずみクリーン (D12013N),2018/03/22,11:34:28,True,True,True,True,True,False,False,Ｈ＆Ｋ,1998,N/A,N/A,False,False,残り1点ご注文はお早めに,4.0,102,False,N/A,False,N/A,False,N/A
B0016G8E5K,Oral Care,Oral-B,Refill,Others,1,,,,ブラウン オーラルB IP17-1-EL 替えブラシ 歯間用ブラシ 1個入り 正規品,2018/03/22,11:34:28,True,True,True,True,True,True,True,Amazon.co.jp,519,519,N/A,False,False,在庫あり。,4.2,130,True,467,False,N/A,False,N/A
B000GIW6G2,Oral Care,Oral-B,Handle,Entry,,,,,ブラウン オーラルB すみずみクリーン (D12013N),2018/03/22,12:21:10,True,True,True,True,True,False,False,Ｈ＆Ｋ,1998,N/A,N/A,False,False,残り1点ご注文はお早めに,4.0,103,False,N/A,False,N/A,False,N/A
B0016G8E5K,Oral Care,Oral-B,Refill,Others,1,,,,ブラウン オーラルB IP17-1-EL 替えブラシ 歯間用ブラシ 1個入り 正規品,2018/03/22,12:21:10,True,True,True,True,True,True,True,Amazon.co.jp,519,519,N/A,False,False,在庫あり。,4.2,130,True,467,False,N/A,False,N/A
B000GIW6G2,Oral Care,Oral-B,Handle,Entry,,,,,ブラウン オーラルB すみずみクリーン (D12013N),2018/03/22,12:35:58,True,True,True,True,True,False,False,Ｈ＆Ｋ,1998,N/A,N/A,False,False,残り1点ご注文はお早めに,4.0,103,False,N/A,False,N/A,False,N/A
B0016G8E5K,Oral Care,Oral-B,Refill,Others,1,,,,ブラウン オーラルB IP17-1-EL 替えブラシ 歯間用ブラシ 1個入り 正規品,2018/03/22,12:35:58,True,True,True,True,True,True,True,Amazon.co.jp,519,519,N/A,False,False,在庫あり。,4.2,130,True,467,False,N/A,False,N/A
B000GIW6G2,Oral Care,Oral-B,Handle,Entry,,,,,ブラウン オーラルB すみずみクリーン (D12013N),2018/03/22,12:49:52,True,True,True,True,True,False,False,Ｈ＆Ｋ,1998,N/A,N/A,False,False,残り1点ご注文はお早めに,4.0,103,False,N/A,False,N/A,False,N/A
B0016G8E5K,Oral Care,Oral-B,Refill,Others,1,,,,ブラウン オーラルB IP17-1-EL 替えブラシ 歯間用ブラシ 1個入り 正規品,2018/03/22,12:49:52,True,True,True,True,True,True,True,Amazon.co.jp,519,519,N/A,False,False,在庫あり。,4.2,130,True,467,False,N/A,False,N/A
B000GIW6G2,Oral Care,Oral-B,Handle,Entry,,,,,ブラウン オーラルB すみずみクリーン (D12013N),2018/03/22,12:57:55,True,True,True,True,True,False,False,Ｈ＆Ｋ,1998,N/A,N/A,False,False,残り1点ご注文はお早めに,4.0,103,False,N/A,False,N/A,False,N/A
B0016G8E5K,Oral Care,Oral-B,Refill,Others,1,,,,ブラウン オーラルB IP17-1-EL 替えブラシ 歯間用ブラシ 1個入り 正規品,2018/03/22,12:57:55,True,True,True,True,True,True,True,Amazon.co.jp,519,519,N/A,False,False,在庫あり。,4.2,130,True,467,False,N/A,False,N/A
