ASIN,Category,BRAND,SEGMENT1,SEGMENT2,SEGMENT3,SEGMENT4,SEGMENT5,SEGMENT6,ProductTitle,Crwal-Date,Crwal-Time,ASIN-Active,ASIN-Qualified-Buy-Status,Non-Pantry-status,Non-Used-status,Non-Market-Place,Amazon-is-selling,Amazon-is-the-lowest-price-merchant,Lowest-Price-Merchant,Lowest-Price-JPY,Amazon-Price JPY,Amazon-Coupon,Add-On,Prime-Only,Availability,Review-Stars,Review-Volumes,Standard-SnS,Standard-SnS-Price,Prime-Exclusive-SnS,Prime-Exclusive-SnS-Price,Prime-Family-SnS,Prime-Family-SnS-Price
B002KYK3MO,Skin Care,illume,Skin,,,,,,,2018/03/22,10:38:12,True,True,True,True,False,False,False,,,,,False,False,,,,False,,False,,False,
B002KYOAQY,Skin Care,illume,Skin,,,,,,,2018/03/22,10:38:12,True,True,True,True,False,False,False,,,,,False,False,,,,False,,False,,False,
B002KYK3MO,Skin Care,illume,Skin,,,,,,イリューム モイストキャプチャー エッセンスミルク,2018/03/22,10:54:49,True,True,True,True,True,True,True,Amazon.co.jp,4104,4104,N/A,False,False,残り10点,4.4,51,True,3694,False,N/A,False,N/A
B002KYOAQY,Skin Care,illume,Skin,,,,,,マックスファクター イリューム モイストキャプチャー エッセンス ウォーター 150mL,2018/03/22,10:54:49,True,True,True,True,True,True,True,Amazon.co.jp,2700,2700,N/A,False,False,在庫あり。,4.1,70,True,2430,False,N/A,False,N/A
B002KYK3MO,Skin Care,illume,Skin,,,,,,イリューム モイストキャプチャー エッセンスミルク,2018/03/22,11:13:06,True,True,True,True,True,True,True,Amazon.co.jp,4104,4104,N/A,False,False,残り10点,4.4,51,True,3694,False,N/A,False,N/A
B002KYOAQY,Skin Care,illume,Skin,,,,,,マックスファクター イリューム モイストキャプチャー エッセンス ウォーター 150mL,2018/03/22,11:13:06,True,True,True,True,True,True,True,Amazon.co.jp,2700,2700,N/A,False,False,在庫あり。,4.1,70,True,2430,False,N/A,False,N/A
B002KYK3MO,Skin Care,illume,Skin,,,,,,イリューム モイストキャプチャー エッセンスミルク,2018/03/22,11:21:22,True,True,True,True,True,True,True,Amazon.co.jp,4104,4104,N/A,False,False,残り10点,4.4,51,True,3694,False,N/A,False,N/A
B002KYOAQY,Skin Care,illume,Skin,,,,,,マックスファクター イリューム モイストキャプチャー エッセンス ウォーター 150mL,2018/03/22,11:21:22,True,True,True,True,True,True,True,Amazon.co.jp,2700,2700,N/A,False,False,在庫あり。,4.1,70,True,2430,False,N/A,False,N/A
B002KYK3MO,Skin Care,illume,Skin,,,,,,イリューム モイストキャプチャー エッセンスミルク,2018/03/22,11:34:28,True,True,True,True,True,True,True,Amazon.co.jp,4104,4104,N/A,False,False,残り10点,4.4,51,True,3694,False,N/A,False,N/A
B002KYOAQY,Skin Care,illume,Skin,,,,,,マックスファクター イリューム モイストキャプチャー エッセンス ウォーター 150mL,2018/03/22,11:34:28,True,True,True,True,True,True,True,Amazon.co.jp,2700,2700,N/A,False,False,在庫あり。,4.1,70,True,2430,False,N/A,False,N/A
B002KYK3MO,Skin Care,illume,Skin,,,,,,イリューム モイストキャプチャー エッセンスミルク,2018/03/22,12:35:58,True,True,True,True,True,True,True,Amazon.co.jp,4104,4104,N/A,False,False,残り10点,4.4,51,True,3694,False,N/A,False,N/A
B002KYOAQY,Skin Care,illume,Skin,,,,,,マックスファクター イリューム モイストキャプチャー エッセンス ウォーター 150mL,2018/03/22,12:35:58,True,True,True,True,True,True,True,Amazon.co.jp,2700,2700,N/A,False,False,在庫あり。,4.1,70,True,2430,False,N/A,False,N/A
B002KYK3MO,Skin Care,illume,Skin,,,,,,イリューム モイストキャプチャー エッセンスミルク,2018/03/22,12:49:52,True,True,True,True,True,True,True,Amazon.co.jp,4104,4104,N/A,False,False,残り10点,4.4,51,True,3694,False,N/A,False,N/A
B002KYOAQY,Skin Care,illume,Skin,,,,,,マックスファクター イリューム モイストキャプチャー エッセンス ウォーター 150mL,2018/03/22,12:49:52,True,True,True,True,True,True,True,Amazon.co.jp,2700,2700,N/A,False,False,在庫あり。,4.1,70,True,2430,False,N/A,False,N/A
B002KYK3MO,Skin Care,illume,Skin,,,,,,イリューム モイストキャプチャー エッセンスミルク,2018/03/22,12:57:55,True,True,True,True,True,True,True,Amazon.co.jp,4104,4104,N/A,False,False,残り10点,4.4,51,True,3694,False,N/A,False,N/A
B002KYOAQY,Skin Care,illume,Skin,,,,,,マックスファクター イリューム モイストキャプチャー エッセンス ウォーター 150mL,2018/03/22,12:57:55,True,True,True,True,True,True,True,Amazon.co.jp,2700,2700,N/A,False,False,在庫あり。,4.1,70,True,2430,False,N/A,False,N/A
